"","ensembl_gene_id","mgi_symbol"
"268","ENSMUSG00000040441","Slc26a10"
"269","ENSMUSG00000086302","Gm13790"
"270","ENSMUSG00000086856","Gm16080"
"271","ENSMUSG00000045362","Tnfrsf26"
"272","ENSMUSG00000025135","Anapc11"
"273","ENSMUSG00000041930","Fam222a"
"274","ENSMUSG00000037613","Tnfrsf23"
"275","ENSMUSG00000028613","Lrp8"
"276","ENSMUSG00000041703","Zic5"
"277","ENSMUSG00000025529","Zfp711"
"278","ENSMUSG00000044034","Npb"
"279","ENSMUSG00000096289","Olfr1484"
"280","ENSMUSG00000062444","Ap3b2"
"281","ENSMUSG00000062846","Gm14176"
"282","ENSMUSG00000054874","Pcnx3"
"283","ENSMUSG00000037843","Vstm2l"
"284","ENSMUSG00000033409","Syce1l"
"285","ENSMUSG00000080893","Gm15920"
"286","ENSMUSG00000061718","Ppp1r1b"
"287","ENSMUSG00000025340","Rabgef1"
"288","ENSMUSG00000013698","Pea15a"
"289","ENSMUSG00000025137","Pcyt2"
"290","ENSMUSG00000081399","Gm14921"
"291","ENSMUSG00000034607","Pof1b"
"292","ENSMUSG00000031913","Vps4a"
"293","ENSMUSG00000056359","D830013O20Rik"
"294","ENSMUSG00000078931","Pdf"
"295","ENSMUSG00000085944","1700003D09Rik"
"296","ENSMUSG00000078908","Mon1b"
"297","ENSMUSG00000031916","Cog8"
"298","ENSMUSG00000027650","Tti1"
"299","ENSMUSG00000032503","Arpp21"
"300","ENSMUSG00000094092","Gm15921"
"301","ENSMUSG00000083734","Gm16209"
"302","ENSMUSG00000085555","2610035F20Rik"
"303","ENSMUSG00000062814","Ssxa1"
"304","ENSMUSG00000095799","Gm8332"
"305","ENSMUSG00000054400","Cklf"
"306","ENSMUSG00000026616","Cr2"
"307","ENSMUSG00000035198","Tubg1"
"308","ENSMUSG00000038271","Iffo1"
"309","ENSMUSG00000020521","Rnft1"
"310","ENSMUSG00000083892","Gm1848"
"311","ENSMUSG00000087358","4930453H23Rik"
"312","ENSMUSG00000079029","Gm5662"
"313","ENSMUSG00000040964","Arhgef10l"
"314","ENSMUSG00000020516","Rps6kb1"
"315","ENSMUSG00000032212","Sltm"
"316","ENSMUSG00000084097","Gm14922"
"317","ENSMUSG00000020225","Tmbim4"
"318","ENSMUSG00000082636","Gm14923"
"319","ENSMUSG00000087586","Gm6938"
"320","ENSMUSG00000081555","Gm6427"
"321","ENSMUSG00000083103","Gm6429"
"322","ENSMUSG00000094635","Gm7104"
"323","ENSMUSG00000081082","Gm14937"
"324","ENSMUSG00000082392","Gm14938"
"325","ENSMUSG00000051537","Gm5124"
"326","ENSMUSG00000084963","Gm14936"
"327","ENSMUSG00000083560","Gm14939"
"328","ENSMUSG00000045007","Tubg2"
"329","ENSMUSG00000018167","Stard3"
"330","ENSMUSG00000020227","Irak3"
"331","ENSMUSG00000005057","Sh2b2"
"332","ENSMUSG00000028612","Lrp8os1"
"333","ENSMUSG00000073779","Lrp8os2"
"334","ENSMUSG00000057666","Gapdh"
"335","ENSMUSG00000008193","Spib"
"336","ENSMUSG00000068122","Agtr2"
"337","ENSMUSG00000037979","Ccdc92"
"338","ENSMUSG00000093847","Gm5039"
"339","ENSMUSG00000034205","Loxl2"
"340","ENSMUSG00000000301","Pemt"
"341","ENSMUSG00000061524","Zic2"
"342","ENSMUSG00000015053","Gata2"
"343","ENSMUSG00000025138","Sirt7"
"344","ENSMUSG00000022066","Gm21685"
"345","ENSMUSG00000021248","Tmed10"
"346","ENSMUSG00000061877","BC048679"
"347","ENSMUSG00000040040","Ift88"
"348","ENSMUSG00000037820","Tgm2"
"349","ENSMUSG00000051510","Mafg"
"350","ENSMUSG00000027598","Itch"
"351","ENSMUSG00000082044","Snrpert"
"352","ENSMUSG00000048911","Rnf24"
"353","ENSMUSG00000086486","Ift88os"
"354","ENSMUSG00000081238","Gm15836"
"355","ENSMUSG00000014158","Trpv4"
"356","ENSMUSG00000006127","Inpp5k"
"357","ENSMUSG00000074127","Cmtm2a"
"358","ENSMUSG00000086329","Gm14233"
"359","ENSMUSG00000042444","Fam63b"
"360","ENSMUSG00000079215","Zfp664"
"361","ENSMUSG00000037514","Pank2"
"362","ENSMUSG00000027651","Rprd1b"
"363","ENSMUSG00000031876","Gm45711"
"364","ENSMUSG00000093669","Gm9399"
"365","ENSMUSG00000094846","Olfr1487"
