"","gene","freq","hgnc_symbol"
"168","ensg00000141552",0.192908574205233,"ANAPC11"
"169","ensg00000152234",0.18675364068735,"ATP5A1"
"170","ensg00000164405",0.18656221931,"UQCRQ"
"171","ensg00000132963",0.183955943633767,"POMP"
"172","ensg00000116288",0.183602550321735,"PARK7"
"173","ensg00000135390",0.183190258124365,"ATP5G2"
"174","ensg00000132432",0.183087185075022,"SEC61G"
"175","ensg00000176340",0.182969387304345,"COX8A"
"176","ensg00000140990",0.182586544549644,"NDUFB10"
"177","ensg00000172757",0.180952100481498,"CFL1"
"178","ensg00000118680",0.180745954382813,"MYL12B"
"179","ensg00000188243",0.180716504940144,"COMMD6"
"180","ensg00000110958",0.18045145995612,"PTGES3"
"181","ensg00000134333",0.179111510314667,"LDHA"
"182","ensg00000119705",0.178655043953293,"SLIRP"
"183","ensg00000198931",0.178551970903951,"APRT"
"184","ensg00000088986",0.176888077393135,"DYNLL1"
"185","ensg00000156261",0.175400880538336,"CCT8"
"186","ensg00000110492",0.174900240012958,"MDK"
"187","ensg00000075624",0.174164003946225,"ACTB"
"188","ensg00000167085",0.173074374567461,"PHB"
"189","ensg00000169100",0.169864385316508,"SLC25A6"
"190","ensg00000101608",0.169083975085771,"MYL12A"
"191","ensg00000181163",0.167007789377586,"NPM1"
"192","ensg00000198258",0.166816368000236,"UBL5"
"193","ensg00000147684",0.165726738621472,"NDUFB9"
"194","ensg00000167815",0.165093575604082,"PRDX2"
"195","ensg00000089220",0.164357339537349,"PEBP1"
"196","ensg00000188612",0.162634547141195,"SUMO2"
"197","ensg00000178741",0.162281153829164,"COX5A"
"198","ensg00000103363",0.161942485238467,"ELOB"
"199","ensg00000143256",0.161721614418447,"PFDN2"
"200","ensg00000178982",0.161706889697112,"EIF3K"
"201","ensg00000137309",0.161692164975778,"HMGA1"
"202","ensg00000184076",0.161530193041097,"UQCR10"
"203","ensg00000149925",0.160366940055659,"ALDOA"
"204","ensg00000106153",0.160028271464963,"CHCHD2"
"205","ensg00000166165",0.159792675923608,"CKB"
"206","ensg00000164104",0.158938642086199,"HMGB2"
"207","ensg00000051523",0.15802570936345,"CYBA"
"208","ensg00000159199",0.158010984642116,"ATP5G1"
"209","ensg00000117592",0.157245299132714,"PRDX6"
"210","ensg00000114942",0.157142226083371,"EEF1B2"
"211","ensg00000104408",0.156464888901978,"EIF3E"
"212","ensg00000125356",0.155949523655265,"NDUFA1"
"213","ensg00000167642",0.155286911195206,"SPINT2"
"214","ensg00000147403",0.155095489817855,"RPL10"
"215","ensg00000239672",0.154918793161839,"NME1"
"216","ensg00000156411",0.154683197620485,"C14orf2"
"217","ensg00000123975",0.154123658209768,"CKS2"
"218","ensg00000113558",0.154094208767099,"SKP1"
"219","ensg00000178035",0.153092927716343,"IMPDH2"
"220","ensg00000108518",0.153034028831004,"PFN1"
"221","ensg00000130520",0.152754259125646,"LSM4"
"222","ensg00000113387",0.152430315256284,"SUB1"
"223","ensg00000165672",0.151649905025547,"PRDX3"
"224","ensg00000166794",0.149986011514732,"PPIB"
"225","ensg00000004779",0.148822758529295,"NDUFAB1"
"226","ensg00000178952",0.148189595511905,"TUFM"
"227","ensg00000204387",0.147821477478539,"C6orf48"
"228","ensg00000111057",0.146982168362464,"KRT18"
"229","ensg00000167863",0.146864370591787,"ATP5H"
"230","ensg00000155368",0.146746572821109,"DBI"
"231","ensg00000172115",0.146172308689058,"CYCS"
"232","ensg00000100632",0.14608396036105,"ERH"
"233","ensg00000198467",0.14545079734366,"TPM2"
"234","ensg00000137876",0.144611488227585,"RSL24D1"
"235","ensg00000100804",0.143566033012825,"PSMB5"
"236","ensg00000090266",0.143551308291491,"NDUFB2"
"237","ensg00000111678",0.142844521667427,"C12orf57"
"238","ensg00000188229",0.142432229470057,"TUBB4B"
"239","ensg00000187145",0.141725442845994,NA
"240","ensg00000166598",0.141695993403325,"HSP90B1"
"241","ensg00000089009",0.140621088745895,"RPL6"
"242","ensg00000165629",0.140547465139222,"ATP5C1"
"243","ensg00000150753",0.14041494264721,"CCT5"
"244","ensg00000100300",0.139104442448427,"TSPO"
"245","ensg00000179091",0.138397655824364,"CYC1"
"246","ensg00000109971",0.138176785004344,"HSPA8"
"247","ensg00000179271",0.138147335561674,"GADD45GIP1"
"248","ensg00000108294",0.137926464741655,NA
"249","ensg00000160213",0.136601239821536,"CSTB"
"250","ensg00000170421",0.136321470116178,"KRT8"
"251","ensg00000146701",0.136306745394843,"MDH2"
"252","ensg00000196230",0.136218397066836,"TUBB"
"253","ensg00000111639",0.135482161000103,"MRPL51"
"254","ensg00000131016",0.135452711557434,"AKAP12"
"255","ensg00000164611",0.135379087950761,"PTTG1"
"256","ensg00000100387",0.135290739622753,"RBX1"
"257","ensg00000135624",0.134348357457335,"CCT7"
"258","ensg00000182117",0.13350904834126,"NOP10"
"259","ensg00000115484",0.132964233651878,"CCT4"
"260","ensg00000134248",0.132890610045205,"LAMTOR5"
"261","ensg00000166226",0.131962952601122,"CCT2"
